observation	title	code	cdc_text	edition	version	inactive	effectiveTime	preferred_term
116	Severe allergic reaction after previous dose of Meningococcal B	451281000124102	Adverse reaction caused by meningococcal group B vaccine [disorder]	US	20250901	False	None	Adverse reaction to component of vaccine product containing only Neisseria meningitidis serogroup B antigen
119	Severe allergic reaction after previous dose of cholera	219082005	Adverse reaction caused by cholera vaccine [disorder]	International	20250201	False	None	Adverse reaction to cholera vaccine
121	Homelessness	32911000	Homeless [finding]	International	20250201	False	None	Homeless
132	RBC [adenine-saline added] blood transfusion	116859006	Transfusion of blood product [procedure]	International	20250201	False	None	Transfusion of blood product
133	Packed RBC blood transfusion	116859006	Transfusion of blood product [procedure]	International	20250201	False	None	Transfusion of blood product
134	Whole blood transfusion	116859006	Transfusion of blood product [procedure]	International	20250201	False	None	Transfusion of blood product
135	Plasma/platelet products blood transfusion	13569004	Transfusion of plasma [procedure]	International	20250201	False	None	Transfusion of plasma
135	Plasma/platelet products blood transfusion	12719002	Platelet transfusion [procedure]	International	20250201	False	None	Platelet transfusion
145	B-lymphocyte [humoral] - Severe antibody deficiencies	65880007	X-linked agammaglobulinemia [disorder]	International	20250201	False	None	X-linked agammaglobulinemia
145	B-lymphocyte [humoral] - Severe antibody deficiencies	23238000	Common variable agammaglobulinemia [disorder]	International	20250201	False	None	Common variable agammaglobulinemia
146	B-lymphocyte [humoral] - Less severe antibody deficiencies	190979003	Selective immunoglobulin A deficiency [disorder]	International	20250201	False	None	Selective immunoglobulin A deficiency
146	B-lymphocyte [humoral] - Less severe antibody deficiencies	123785006	Immunoglobulin G subclass deficiency [finding]	International	20250201	False	None	Immunoglobulin G subclass deficiency
147	T-lymphocyte [cell-mediated and humoral] - Complete defects	31323000	Severe combined immunodeficiency disease [disorder]	International	20250201	False	None	Severe combined immunodeficiency disease
147	T-lymphocyte [cell-mediated and humoral] - Complete defects	77128003	DiGeorge sequence [disorder]	International	20250201	True	None	DiGeorge sequence
148	T-lymphocyte [cell-mediated and humoral] - Partial defects	77128003	DiGeorge sequence [disorder]	International	20250201	True	None	DiGeorge sequence
148	T-lymphocyte [cell-mediated and humoral] - Partial defects	36070007	Wiskott-Aldrich syndrome [disorder]	International	20250201	False	None	Wiskott-Aldrich syndrome
148	T-lymphocyte [cell-mediated and humoral] - Partial defects	68504005	Ataxia-telangiectasia syndrome [disorder]	International	20250201	False	None	Ataxia-telangiectasia syndrome
151	Persistent complement, properdin, or factor B deficiency	24743004	Complement deficiency disease [disorder]	International	20250201	False	None	Complement deficiency disease
151	Persistent complement, properdin, or factor B deficiency	81166004	Properdin deficiency disease [disorder]	International	20250201	False	None	Properdin deficiency disease
151	Persistent complement, properdin, or factor B deficiency	234605000	Factor B deficiency [disorder]	International	20250201	False	None	Factor B deficiency
152	Phagocytic function - Chronic granulomatous disease	387759001	Chronic granulomatous disease [disorder]	International	20250201	False	None	Chronic granulomatous disease
153	Phagocytic function - Leukocyte adhesion defect, and myeloperoxidase deficiency	77358003	Congenital leukocyte adherence deficiency [disorder]	International	20250201	True	None	Congenital leukocyte adherence deficiency
153	Phagocytic function - Leukocyte adhesion defect, and myeloperoxidase deficiency	234433009	Myeloperoxidase deficiency [disorder]	International	20250201	False	None	Myeloperoxidase deficiency
154	HIV/AIDS - severely immunocompromised	62479008	Acquired immune deficiency syndrome [disorder]	International	20250201	False	None	AIDS
155	HIV/AIDS - not severely immunocompromised	62479008	Acquired immune deficiency syndrome [disorder]	International	20250201	False	None	AIDS
157	Solid organ transplantation	313039003	Solid organ transplant [procedure]	International	20250201	False	None	Solid organ transplant to recipient
158	Immunosuppressive therapy	86553008	Immunosuppressive therapy [procedure]	International	20250201	False	None	Immunosuppressive therapy
159	Radiation therapy	53438000	Radiation therapy procedure or service [procedure]	International	20250201	True	None	Radiation therapy procedure or service
160	Anatomical or functional asplenia	707147002	Asplenia [disorder]	International	20250201	False	None	Asplenia
161	Chronic kidney disease	709044004	Chronic kidney disease [disorder]	International	20250201	False	None	Chronic kidney disease
167	Nephrotic Syndrome	52254009	Nephrotic syndrome [disorder]	International	20250201	False	None	Nephrotic syndrome
168	Chemotherapy	367336001	Chemotherapy [procedure]	International	20250201	False	None	Chemotherapy
169	History of sexual abuse or assault	213017001	Sexual abuse [event]	International	20250201	False	None	Sexual abuse
169	History of sexual abuse or assault	422608009	Sexual assault [finding]	International	20250201	True	None	Sexual assault
169	History of sexual abuse or assault	248110007	Sexual assault [event]	International	20250201	False	None	Sexual assault
170	Onset of pregnancy	248986005	Estimated date of conception [observable entity]	International	20250201	False	None	Estimated date of conception
172	Severe allergic reaction after previous dose of recombinant zoster	451291000124104	Adverse reaction caused by zoster vaccine [disorder]	US	20250901	True	None	Adverse reaction to component of vaccine product containing Human alphaherpesvirus 3 antigen
178	Leukemia	93143009	Leukemia, disease [disorder]	International	20250201	False	None	Leukaemia
179	Lymphoma	399600009	Lymphoma [finding]	International	20250201	False	None	Lymphoma finding
180	Hodgkin's disease	118599009	Hodgkin's disease [disorder]	International	20250201	False	None	Hodgkin's disease (clinical)
181	Multiple myeloma	109989006	Multiple myeloma [disorder]	International	20250201	False	None	Multiple myeloma
186	HIV Infection	86406008	Human immunodeficiency virus infection [disorder]	International	20250201	False	None	Human immunodeficiency virus infection
191	Receipt of CAR-T-cell therapy	1156961008	Chimeric antigen receptor T-cell immunotherapy [procedure]	International	20250201	False	None	Chimeric antigen receptor T-cell immunotherapy
198	Cancer	363346000	Malignant neoplastic disease [disorder]	International	20250201	False	None	Malignant neoplastic disease
199	Interstitial lung disease	233703007	Interstitial lung disease [disorder]	International	20250201	False	None	Interstitial lung disease
200	Cystic fibrosis	190905008	cystic fibrosis [disorder]	International	20250201	False	None	Cystic fibrosis
201	Pulmonary hypertension	70995007	Pulmonary hypertension [disorder]	International	20250201	False	None	Pulmonary hypertension
202	Dementia	52448006	Dimensia [disorder]	International	20250201	False	None	Dementia
203	Down syndrome	41040004	Complete trisomy 21 syndrome [disorder]	International	20250201	False	None	Complete trisomy 21 syndrome
204	Obesity	238131007	Overweight [finding]	International	20250201	False	None	Overweight
204	Obesity	414915002	Obese [finding]	International	20250201	False	None	Obese
204	Obesity	83911000119104	Severe obesity [disorder]	International	20250201	False	None	Severe obesity
